,.
name,Title of dataset
essround,ESS round
edition,Edition
proddate,Production date
idno,Respondent's identification number
cntry,Country
tvtot,"TV watching, total time on average weekday"
tvpol,"TV watching, news/politics/current affairs on average weekday"
ppltrst,Most people can be trusted or you can't be too careful
pplfair,"Most people try to take advantage of you, or try to be fair"
pplhlp,Most of the time people helpful or mostly looking out for themselves
polintr,How interested in politics
psppsgv,Political system allows people to have a say in what government does
actrolg,Able to take active role in political group
psppipl,Political system allows people to have influence on politics
cptppol,Confident in own ability to participate in politics
ptcpplt,Politicians care what people think
etapapl,Easy to take part in politics
trstprl,Trust in country's parliament
trstlgl,Trust in the legal system
trstplc,Trust in the police
trstplt,Trust in politicians
trstprt,Trust in political parties
trstep,Trust in the European Parliament
trstun,Trust in the United Nations
vote,Voted last national election
prtvtbat,"Party voted for in last national election, Austria"
prtvtcbe,"Party voted for in last national election, Belgium"
prtvtech,"Party voted for in last national election, Switzerland"
prtvtdcz,"Party voted for in last national election, Czech Republic"
prtvede1,"Party voted for in last national election 1, Germany"
prtvede2,"Party voted for in last national election 2, Germany"
prtvtcdk,"Party voted for in last national election, Denmark"
prtvteee,"Party voted for in last national election, Estonia"
prtvtces,"Party voted for in last national election, Spain"
prtvtcfi,"Party voted for in last national election, Finland"
prtvtcfr,"Party voted for in last national election, France (ballot 1)"
prtvtbgb,"Party voted for in last national election, United Kingdom"
prtvtehu,"Party voted for in last national election, Hungary"
prtvtaie,"Party voted for in last national election, Ireland"
prtvtcil,"Party voted for in last national election, Israel"
prtvalt1,"Party voted for in last national election 1, Lithuania (first vote, party)"
prtvalt2,"Party voted for in last national election 2, Lithuania (second vote, party)"
prtvalt3,"Party voted for in last national election 3, Lithuania (third vote, party)"
prtvtfnl,"Party voted for in last national election, Netherlands"
prtvtbno,"Party voted for in last national election, Norway"
prtvtcpl,"Party voted for in last national election, Poland"
prtvtbpt,"Party voted for in last national election, Portugal"
prtvtbse,"Party voted for in last national election, Sweden"
prtvtesi,"Party voted for in last national election, Slovenia"
contplt,Contacted politician or government official last 12 months
wrkprty,Worked in political party or action group last 12 months
wrkorg,Worked in another organisation or association last 12 months
badge,Worn or displayed campaign badge/sticker last 12 months
sgnptit,Signed petition last 12 months
pbldmn,Taken part in lawful public demonstration last 12 months
bctprd,Boycotted certain products last 12 months
clsprty,Feel closer to a particular party than all other parties
prtclcat,"Which party feel closer to, Austria"
prtclcbe,"Which party feel closer to, Belgium"
prtclech,"Which party feel closer to, Switzerland"
prtcldcz,"Which party feel closer to, Czech Republic"
prtclede,"Which party feel closer to, Germany"
prtclcdk,"Which party feel closer to, Denmark"
prtcleee,"Which party feel closer to, Estonia"
prtcldes,"Which party feel closer to, Spain"
prtclcfi,"Which party feel closer to, Finland"
prtclcfr,"Which party feel closer to, France"
prtclbgb,"Which party feel closer to, United Kingdom"
prtclehu,"Which party feel closer to, Hungary"
prtclaie,"Which party feel closer to, Ireland"
prtcldil,"Which party feel closer to, Israel"
prtclalt,"Which party feel closer to, Lithuania"
prtclenl,"Which party feel closer to, Netherlands"
prtclbno,"Which party feel closer to, Norway"
prtclfpl,"Which party feel closer to, Poland"
prtcldpt,"Which party feel closer to, Portugal"
prtclbse,"Which party feel closer to, Sweden"
prtclesi,"Which party feel closer to, Slovenia"
prtdgcl,How close to party
lrscale,Placement on left right scale
stflife,How satisfied with life as a whole
stfeco,How satisfied with present state of economy in country
stfgov,How satisfied with the national government
stfdem,How satisfied with the way democracy works in country
stfedu,State of education in country nowadays
stfhlth,State of health services in country nowadays
gincdif,Government should reduce differences in income levels
freehms,Gays and lesbians free to live life as they wish
euftf,European Union: European unification go further or gone too far
imsmetn,Allow many/few immigrants of same race/ethnic group as majority
imdfetn,Allow many/few immigrants of different race/ethnic group from majority
eimpcnt,Allow many/few immigrants from poorer countries in Europe
impcntr,Allow many/few immigrants from poorer countries outside Europe
imbgeco,Immigration bad or good for country's economy
imueclt,Country's cultural life undermined or enriched by immigrants
imwbcnt,Immigrants make country worse or better place to live
happy,How happy are you
sclmeet,"How often socially meet with friends, relatives or colleagues"
inprdsc,How many people with whom you can discuss intimate and personal matters
sclact,Take part in social activities compared to others of same age
crmvct,Respondent or household member victim of burglary/assault last 5 years
aesfdrk,Feeling of safety of walking alone in local area after dark
health,Subjective general health
hlthhmp,Hampered in daily activities by illness/disability/infirmity/mental problem
rlgblg,Belonging to particular religion or denomination
rlgdnm,Religion or denomination belonging to at present
rlgdnbat,"Religion or denomination belonging to at present, Austria"
rlgdnbe,"Religion or denomination belonging to at present, Belgium"
rlgdnach,"Religion or denomination belonging to at present, Switzerland"
rlgdnade,"Religion or denomination belonging to at present, Germany"
rlgdnafi,"Religion or denomination belonging to at present, Finland"
rlgdngb,"Religion or denomination belonging to at present, United Kingdom"
rlgdnhu,"Religion or denomination belonging to at present, Hungary"
rlgdnie,"Religion or denomination belonging to at present, Ireland"
rlgdnil,"Religion or denomination belonging to at present, Israel"
rlgdnlt,"Religion or denomination belonging to at present, Lithuania"
rlgdnnl,"Religion or denomination belonging to at present, Netherlands"
rlgdnno,"Religion or denomination belonging to at present, Norway"
rlgdnapl,"Religion or denomination belonging to at present, Poland"
rlgdnase,"Religion or denomination belonging to at present, Sweden"
rlgdnsi,"Religion or denomination belonging to at present, Slovenia"
rlgblge,Ever belonging to particular religion or denomination
rlgdnme,Religion or denomination belonging to in the past
rlgdebat,"Religion or denomination belonging to in the past, Austria"
rlgdebe,"Religion or denomination belonging to in the past, Belgium"
rlgdeach,"Religion or denomination belonging to in the past, Switzerland"
rlgdeade,"Religion or denomination belonging to in the past, Germany"
rlgdeafi,"Religion or denomination belonging to in the past, Finland"
rlgdegb,"Religion or denomination belonging to in the past, United Kingdom"
rlgdehu,"Religion or denomination belonging to in the past, Hungary"
rlgdeie,"Religion or denomination belonging to in the past, Ireland"
rlgdeil,"Religion or denomination belonging to in the past, Israel"
rlgdelt,"Religion or denomination belonging to in the past, Lithuania"
rlgdenl,"Religion or denomination belonging to in the past, Netherlands"
rlgdeno,"Religion or denomination belonging to in the past, Norway"
rlgdeapl,"Religion or denomination belonging to in the past, Poland"
